ID,Nome,Preço,Quantidade
250,Batata,286.72,250
251,Repolho,573.44,251
252,Maionese,1146.88,252
253,Ketchup,1.12,253
254,Mostarda,2.24,254
255,Macarrão,4.48,255
256,Miojo,8.96,256
257,Sabão,17.92,257
258,Perfume,35.84,258
259,Shampoo,71.68,259
260,Condicionador,143.36,260
261,Gilete,286.72,261
262,Talheres,573.44,262
263,Refrigerante,1.12,263
264,Torta,2.24,264
265,Frango,4.48,265
266,Carne,8.96,266
267,Vassoura,17.92,267
268,Bucha,35.84,268
269,Limpeza,71.68,269
270,Sabonete,143.36,270
271,Pão,286.72,271
272,Alho,573.44,272
273,Cenoura,1146.88,273
274,Batata,1.12,274
275,Repolho,2.24,275
276,Maionese,4.48,276
277,Ketchup,8.96,277
278,Mostarda,17.92,278
279,Macarrão,35.84,279
280,Miojo,71.68,280
281,Sabão,143.36,281
282,Perfume,286.72,282
283,Shampoo,573.44,283
284,Condicionador,1.12,284
285,Gilete,2.24,285
286,Talheres,4.48,286
287,Refrigerante,8.96,287
288,Torta,17.92,288
289,Frango,35.84,289
290,Carne,71.68,290
291,Vassoura,143.36,291
292,Bucha,286.72,292
293,Limpeza,573.44,293
294,Sabonete,1146.88,294
295,Pão,1.12,295
296,Alho,2.24,296
297,Cenoura,4.48,297
298,Batata,8.96,298
299,Repolho,17.92,299
300,Maionese,35.84,300
301,Ketchup,71.68,301
302,Mostarda,143.36,302
303,Macarrão,286.72,303
304,Miojo,573.44,304
305,Sabão,1.12,305
306,Perfume,2.24,306
307,Shampoo,4.48,307
308,Condicionador,8.96,308
309,Gilete,17.92,309
310,Talheres,35.84,310
311,Refrigerante,71.68,311
312,Torta,143.36,312
313,Frango,286.72,313
314,Carne,573.44,314
315,Vassoura,1146.88,315
316,Bucha,1.12,316
317,Limpeza,2.24,317
318,Sabonete,4.48,318
319,Pão,8.96,319
320,Alho,17.92,320
321,Cenoura,35.84,321
322,Batata,71.68,322
323,Repolho,143.36,323
324,Maionese,286.72,324
325,Ketchup,573.44,325
326,Mostarda,1.12,326
327,Macarrão,2.24,327
328,Miojo,4.48,328
329,Sabão,8.96,329
330,Perfume,17.92,330
331,Shampoo,35.84,331
332,Condicionador,71.68,332
333,Gilete,143.36,333
334,Talheres,286.72,334
335,Refrigerante,573.44,335
336,Torta,1146.88,336
337,Frango,1.12,337
338,Carne,2.24,338
339,Vassoura,4.48,339
340,Bucha,8.96,340
341,Limpeza,17.92,341
342,Sabonete,35.84,342
343,Pão,71.68,343
344,Alho,143.36,344
345,Cenoura,286.72,345
346,Batata,573.44,346
347,Repolho,1.12,347
348,Maionese,2.24,348
349,Ketchup,4.48,349
350,Mostarda,8.96,350
351,Macarrão,17.92,351
352,Miojo,35.84,352
353,Sabão,71.68,353
354,Perfume,143.36,354
355,Shampoo,286.72,355
356,Condicionador,573.44,356
357,Gilete,1146.88,357
358,Talheres,1.12,358
359,Refrigerante,2.24,359
360,Torta,4.48,360
361,Frango,8.96,361
362,Carne,17.92,362
363,Vassoura,35.84,363
364,Bucha,71.68,364
365,Limpeza,143.36,365
366,Sabonete,286.72,366
367,Pão,573.44,367
368,Alho,1.12,368
369,Cenoura,2.24,369
370,Batata,4.48,370
371,Repolho,8.96,371
372,Maionese,17.92,372
373,Ketchup,35.84,373
374,Mostarda,71.68,374
375,Macarrão,143.36,375
376,Miojo,286.72,376
377,Sabão,573.44,377
378,Perfume,1146.88,378
379,Shampoo,1.12,379
380,Condicionador,2.24,380
381,Gilete,4.48,381
382,Talheres,8.96,382
383,Refrigerante,17.92,383
384,Torta,35.84,384
385,Frango,71.68,385
386,Carne,143.36,386
387,Vassoura,286.72,387
388,Bucha,573.44,388
389,Limpeza,1.12,389
390,Sabonete,2.24,390
391,Pão,4.48,391
392,Alho,8.96,392
393,Cenoura,17.92,393
394,Batata,35.84,394
395,Repolho,71.68,395
396,Maionese,143.36,396
397,Ketchup,286.72,397
398,Mostarda,573.44,398
399,Macarrão,1146.88,399
400,Miojo,1.12,400
401,Sabão,2.24,401
402,Perfume,4.48,402
403,Shampoo,8.96,403
404,Condicionador,17.92,404
405,Gilete,35.84,405
406,Talheres,71.68,406
407,Refrigerante,143.36,407
408,Torta,286.72,408
409,Frango,573.44,409
410,Carne,1.12,410
411,Vassoura,2.24,411
412,Bucha,4.48,412
413,Limpeza,8.96,413
414,Sabonete,17.92,414
415,Pão,35.84,415
416,Alho,71.68,416
417,Cenoura,143.36,417
418,Batata,286.72,418
419,Repolho,573.44,419
420,Maionese,1146.88,420
421,Ketchup,1.12,421
422,Mostarda,2.24,422
423,Macarrão,4.48,423
424,Miojo,8.96,424
425,Sabão,17.92,425
426,Perfume,35.84,426
427,Shampoo,71.68,427
428,Condicionador,143.36,428
429,Gilete,286.72,429
430,Talheres,573.44,430
431,Refrigerante,1.12,431
432,Torta,2.24,432
433,Frango,4.48,433
434,Carne,8.96,434
435,Vassoura,17.92,435
436,Bucha,35.84,436
437,Limpeza,71.68,437
438,Sabonete,143.36,438
439,Pão,286.72,439
440,Alho,573.44,440
441,Cenoura,1146.88,441
442,Batata,1.12,442
443,Repolho,2.24,443
444,Maionese,4.48,444
445,Ketchup,8.96,445
446,Mostarda,17.92,446
447,Macarrão,35.84,447
448,Miojo,71.68,448
449,Sabão,143.36,449
450,Perfume,286.72,450
451,Shampoo,573.44,451
452,Condicionador,1.12,452
453,Gilete,2.24,453
454,Talheres,4.48,454
455,Refrigerante,8.96,455
456,Torta,17.92,456
457,Frango,35.84,457
458,Carne,71.68,458
459,Vassoura,143.36,459
460,Bucha,286.72,460
461,Limpeza,573.44,461
462,Sabonete,1146.88,462
463,Pão,1.12,463
464,Alho,2.24,464
465,Cenoura,4.48,465
466,Batata,8.96,466
467,Repolho,17.92,467
468,Maionese,35.84,468
469,Ketchup,71.68,469
470,Mostarda,143.36,470
471,Macarrão,286.72,471
472,Miojo,573.44,472
473,Sabão,1.12,473
474,Perfume,2.24,474
475,Shampoo,4.48,475
476,Condicionador,8.96,476
477,Gilete,17.92,477
478,Talheres,35.84,478
479,Refrigerante,71.68,479
480,Torta,143.36,480
481,Frango,286.72,481
482,Carne,573.44,482
483,Vassoura,1146.88,483
484,Bucha,1.12,484
485,Limpeza,2.24,485
486,Sabonete,4.48,486
487,Pão,8.96,487
488,Alho,17.92,488
489,Cenoura,35.84,489
490,Batata,71.68,490
491,Repolho,143.36,491
492,Maionese,286.72,492
493,Ketchup,573.44,493
494,Mostarda,1.12,494
495,Macarrão,2.24,495
496,Miojo,4.48,496
497,Sabão,8.96,497
498,Perfume,17.92,498
499,Shampoo,35.84,499
500,Condicionador,71.68,500
501,Gilete,143.36,501
502,Talheres,286.72,502
503,Refrigerante,573.44,503
504,Torta,1146.88,504
505,Frango,1.12,505
506,Carne,2.24,506
507,Vassoura,4.48,507
508,Bucha,8.96,508
509,Limpeza,17.92,509
510,Sabonete,35.84,510
511,Pão,71.68,511
512,Alho,143.36,512
513,Cenoura,286.72,513
514,Batata,573.44,514
515,Repolho,1.12,515
516,Maionese,2.24,516
517,Ketchup,4.48,517
518,Mostarda,8.96,518
519,Macarrão,17.92,519
520,Miojo,35.84,520
521,Sabão,71.68,521
522,Perfume,143.36,522
523,Shampoo,286.72,523
524,Condicionador,573.44,524
525,Gilete,1146.88,525
526,Talheres,1.12,526
527,Refrigerante,2.24,527
528,Torta,4.48,528
529,Frango,8.96,529
530,Carne,17.92,530
531,Vassoura,35.84,531
532,Bucha,71.68,532
533,Limpeza,143.36,533
534,Sabonete,286.72,534
535,Pão,573.44,535
536,Alho,1.12,536
537,Cenoura,2.24,537
538,Batata,4.48,538
539,Repolho,8.96,539
540,Maionese,17.92,540
541,Ketchup,35.84,541
542,Mostarda,71.68,542
543,Macarrão,143.36,543
544,Miojo,286.72,544
545,Sabão,573.44,545
546,Perfume,1146.88,546
547,Shampoo,1.12,547
548,Condicionador,2.24,548
549,Gilete,4.48,549
550,Talheres,8.96,550
551,Refrigerante,17.92,551
552,Torta,35.84,552
553,Frango,71.68,553
554,Carne,143.36,554
555,Vassoura,286.72,555
556,Bucha,573.44,556
557,Limpeza,1.12,557
558,Sabonete,2.24,558
559,Pão,4.48,559
560,Alho,8.96,560
561,Cenoura,17.92,561
562,Batata,35.84,562
563,Repolho,71.68,563
564,Maionese,143.36,564
565,Ketchup,286.72,565
566,Mostarda,573.44,566
567,Macarrão,1146.88,567
568,Miojo,1.12,568
569,Sabão,2.24,569
570,Perfume,4.48,570
571,Shampoo,8.96,571
572,Condicionador,17.92,572
573,Gilete,35.84,573
574,Talheres,71.68,574
575,Refrigerante,143.36,575
576,Torta,286.72,576
577,Frango,573.44,577
578,Carne,1.12,578
579,Vassoura,2.24,579
580,Bucha,4.48,580
581,Limpeza,8.96,581
582,Sabonete,17.92,582
583,Pão,35.84,583
584,Alho,71.68,584
585,Cenoura,143.36,585
586,Batata,286.72,586
587,Repolho,573.44,587
588,Maionese,1146.88,588
589,Ketchup,1.12,589
590,Mostarda,2.24,590
591,Macarrão,4.48,591
592,Miojo,8.96,592
593,Sabão,17.92,593
594,Perfume,35.84,594
595,Shampoo,71.68,595
596,Condicionador,143.36,596
597,Gilete,286.72,597
598,Talheres,573.44,598
599,Refrigerante,1.12,599
600,Torta,2.24,600
601,Frango,4.48,601
602,Carne,8.96,602
603,Vassoura,17.92,603
604,Bucha,35.84,604
605,Limpeza,71.68,605
606,Sabonete,143.36,606
607,Pão,286.72,607
608,Alho,573.44,608
609,Cenoura,1146.88,609
610,Batata,1.12,610
611,Repolho,2.24,611
612,Maionese,4.48,612
613,Ketchup,8.96,613
614,Mostarda,17.92,614
615,Macarrão,35.84,615
616,Miojo,71.68,616
617,Sabão,143.36,617
618,Perfume,286.72,618
619,Shampoo,573.44,619
620,Condicionador,1.12,620
621,Gilete,2.24,621
622,Talheres,4.48,622
623,Refrigerante,8.96,623
624,Torta,17.92,624
625,Frango,35.84,625
626,Carne,71.68,626
627,Vassoura,143.36,627
628,Bucha,286.72,628
629,Limpeza,573.44,629
630,Sabonete,1146.88,630
631,Pão,1.12,631
632,Alho,2.24,632
633,Cenoura,4.48,633
634,Batata,8.96,634
635,Repolho,17.92,635
636,Maionese,35.84,636
637,Ketchup,71.68,637
638,Mostarda,143.36,638
639,Macarrão,286.72,639
640,Miojo,573.44,640
641,Sabão,1.12,641
642,Perfume,2.24,642
643,Shampoo,4.48,643
644,Condicionador,8.96,644
645,Gilete,17.92,645
646,Talheres,35.84,646
647,Refrigerante,71.68,647
648,Torta,143.36,648
649,Frango,286.72,649
650,Carne,573.44,650
651,Vassoura,1146.88,651
652,Bucha,1.12,652
653,Limpeza,2.24,653
654,Sabonete,4.48,654
655,Pão,8.96,655
656,Alho,17.92,656
657,Cenoura,35.84,657
658,Batata,71.68,658
659,Repolho,143.36,659
660,Maionese,286.72,660
661,Ketchup,573.44,661
662,Mostarda,1.12,662
663,Macarrão,2.24,663
664,Miojo,4.48,664
665,Sabão,8.96,665
666,Perfume,17.92,666
667,Shampoo,35.84,667
668,Condicionador,71.68,668
669,Gilete,143.36,669
670,Talheres,286.72,670
671,Refrigerante,573.44,671
672,Torta,1146.88,672
673,Frango,1.12,673
674,Carne,2.24,674
675,Vassoura,4.48,675
676,Bucha,8.96,676
677,Limpeza,17.92,677
678,Sabonete,35.84,678
679,Pão,71.68,679
680,Alho,143.36,680
681,Cenoura,286.72,681
682,Batata,573.44,682
683,Repolho,1.12,683
684,Maionese,2.24,684
685,Ketchup,4.48,685
686,Mostarda,8.96,686
687,Macarrão,17.92,687
688,Miojo,35.84,688
689,Sabão,71.68,689
690,Perfume,143.36,690
691,Shampoo,286.72,691
692,Condicionador,573.44,692
693,Gilete,1146.88,693
694,Talheres,1.12,694
695,Refrigerante,2.24,695
696,Torta,4.48,696
697,Frango,8.96,697
698,Carne,17.92,698
699,Vassoura,35.84,699
700,Bucha,71.68,700
701,Limpeza,143.36,701
702,Torta,286.72,702
703,Frango,573.44,703
704,Carne,1.12,704
705,Vassoura,2.24,705
706,Bucha,4.48,706
707,Limpeza,8.96,707
708,Pão,17.92,708
709,Alho,35.84,709
710,Cenoura,71.68,710
711,Batata,143.36,711
712,Repolho,286.72,712
713,Maionese,573.44,713
714,Ketchup,1146.88,714
715,Mostarda,1.12,715
716,Macarrão,2.24,716
717,Miojo,4.48,717
718,Sabão,8.96,718
719,Perfume,17.92,719
720,Shampoo,35.84,720
721,Condicionador,71.68,721
722,Gilete,143.36,722
723,Talheres,286.72,723
724,Refrigerante,573.44,724
725,Torta,1.12,725
726,Frango,2.24,726
727,Carne,4.48,727
728,Vassoura,8.96,728
729,Bucha,17.92,729
730,Limpeza,35.84,730
731,Sabonete,71.68,731
732,Pão,143.36,732
733,Alho,286.72,733
734,Cenoura,573.44,734
735,Batata,1146.88,735
736,Repolho,1.12,736
737,Maionese,2.24,737
738,Ketchup,4.48,738
739,Mostarda,8.96,739
740,Macarrão,17.92,740
741,Miojo,35.84,741
742,Sabão,71.68,742
743,Perfume,143.36,743
744,Shampoo,286.72,744
745,Condicionador,573.44,745
746,Gilete,1.12,746
747,Talheres,2.24,747
748,Refrigerante,4.48,748
749,Torta,8.96,749
750,Frango,17.92,750
751,Carne,35.84,751
752,Vassoura,71.68,752
753,Bucha,143.36,753
754,Limpeza,286.72,754
755,Sabonete,573.44,755
756,Pão,1146.88,756
757,Alho,1.12,757
758,Cenoura,2.24,758
759,Batata,4.48,759
760,Repolho,8.96,760
761,Maionese,17.92,761
762,Ketchup,35.84,762
763,Mostarda,71.68,763
764,Macarrão,143.36,764
765,Miojo,286.72,765
766,Sabão,573.44,766
767,Perfume,1.12,767
768,Shampoo,2.24,768
769,Condicionador,4.48,769
770,Gilete,8.96,770
771,Talheres,17.92,771
772,Refrigerante,35.84,772
773,Torta,71.68,773
774,Frango,143.36,774
775,Carne,286.72,775
776,Vassoura,573.44,776
777,Bucha,1146.88,777
778,Limpeza,1.12,778
779,Sabonete,2.24,779
780,Pão,4.48,780
781,Alho,8.96,781
782,Cenoura,17.92,782
783,Batata,35.84,783
784,Repolho,71.68,784
785,Maionese,143.36,785
786,Ketchup,286.72,786
787,Mostarda,573.44,787
788,Macarrão,1.12,788
789,Miojo,2.24,789
790,Sabão,4.48,790
791,Perfume,8.96,791
792,Shampoo,17.92,792
793,Condicionador,35.84,793
794,Gilete,71.68,794
795,Talheres,143.36,795
796,Refrigerante,286.72,796
797,Torta,573.44,797
798,Frango,1146.88,798
799,Carne,1.12,799
800,Vassoura,2.24,800
801,Bucha,4.48,801
802,Limpeza,8.96,802
803,Sabonete,17.92,803
804,Pão,35.84,804
805,Alho,71.68,805
806,Cenoura,143.36,806
807,Batata,286.72,807
808,Repolho,573.44,808
809,Maionese,1.12,809
810,Ketchup,2.24,810
811,Mostarda,4.48,811
812,Macarrão,8.96,812
813,Miojo,17.92,813
814,Sabão,35.84,814
815,Perfume,71.68,815
816,Shampoo,143.36,816
817,Condicionador,286.72,817
818,Gilete,573.44,818
819,Talheres,1146.88,819
820,Refrigerante,1.12,820
821,Torta,2.24,821
822,Frango,4.48,822
823,Carne,8.96,823
824,Vassoura,17.92,824
825,Bucha,35.84,825
826,Limpeza,71.68,826
827,Sabonete,143.36,827
828,Pão,286.72,828
829,Alho,573.44,829
830,Cenoura,1.12,830
831,Batata,2.24,831
832,Repolho,4.48,832
833,Maionese,8.96,833
834,Ketchup,17.92,834
835,Mostarda,35.84,835
836,Macarrão,71.68,836
837,Miojo,143.36,837
838,Sabão,286.72,838
839,Perfume,573.44,839
840,Shampoo,1146.88,840
841,Condicionador,1.12,841
842,Gilete,2.24,842
843,Talheres,4.48,843
844,Refrigerante,8.96,844
845,Torta,17.92,845
846,Frango,35.84,846
847,Carne,71.68,847
848,Vassoura,143.36,848
849,Bucha,286.72,849
850,Limpeza,573.44,850
851,Sabonete,1.12,851
852,Pão,2.24,852
853,Alho,4.48,853
854,Cenoura,8.96,854
855,Batata,17.92,855
856,Repolho,35.84,856
857,Maionese,71.68,857
858,Ketchup,143.36,858
859,Mostarda,286.72,859
860,Macarrão,573.44,860
861,Miojo,1146.88,861
862,Sabão,1.12,862
863,Perfume,2.24,863
864,Shampoo,4.48,864
865,Condicionador,8.96,865
866,Gilete,17.92,866
867,Talheres,35.84,867
868,Refrigerante,71.68,868
869,Torta,143.36,869
870,Frango,286.72,870
871,Carne,573.44,871
872,Vassoura,1.12,872
873,Bucha,2.24,873
874,Limpeza,4.48,874
875,Sabonete,8.96,875
876,Pão,17.92,876
877,Alho,35.84,877
878,Cenoura,71.68,878
879,Batata,143.36,879
880,Repolho,286.72,880
881,Maionese,573.44,881
882,Ketchup,1146.88,882
883,Mostarda,1.12,883
884,Macarrão,2.24,884
885,Miojo,4.48,885
886,Sabão,8.96,886
887,Perfume,17.92,887
888,Shampoo,35.84,888
889,Condicionador,71.68,889
890,Gilete,143.36,890
891,Talheres,286.72,891
892,Refrigerante,573.44,892
893,Torta,1.12,893
894,Frango,2.24,894
895,Carne,4.48,895
896,Vassoura,8.96,896
897,Bucha,17.92,897
898,Limpeza,35.84,898
899,Sabonete,71.68,899
900,Pão,143.36,900
901,Alho,286.72,901
902,Cenoura,573.44,902
903,Batata,1146.88,903
904,Repolho,1.12,904
905,Maionese,2.24,905
906,Ketchup,4.48,906
907,Mostarda,8.96,907
908,Macarrão,17.92,908
909,Miojo,35.84,909
910,Sabão,71.68,910
911,Perfume,143.36,911
912,Shampoo,286.72,912
913,Condicionador,573.44,913
914,Gilete,1.12,914
915,Talheres,2.24,915
916,Refrigerante,4.48,916
917,Torta,8.96,917
918,Frango,17.92,918
919,Carne,35.84,919
920,Vassoura,71.68,920
921,Bucha,143.36,921
922,Limpeza,286.72,922
923,Sabonete,573.44,923
924,Pão,1146.88,924
925,Alho,1.12,925
926,Cenoura,2.24,926
927,Batata,4.48,927
928,Repolho,8.96,928
929,Maionese,17.92,929
930,Ketchup,35.84,930
931,Mostarda,71.68,931
932,Macarrão,143.36,932
933,Miojo,286.72,933
934,Sabão,573.44,934
935,Perfume,1.12,935
936,Shampoo,2.24,936
937,Condicionador,4.48,937
938,Gilete,8.96,938
939,Talheres,17.92,939
940,Refrigerante,35.84,940
941,Torta,71.68,941
942,Frango,143.36,942
943,Carne,286.72,943
944,Vassoura,573.44,944
945,Bucha,1146.88,945
946,Limpeza,1.12,946
947,Sabonete,2.24,947
948,Pão,4.48,948
949,Alho,8.96,949
950,Cenoura,17.92,950
951,Batata,35.84,951
952,Repolho,71.68,952
953,Maionese,143.36,953
954,Ketchup,286.72,954
955,Mostarda,573.44,955
956,Macarrão,1.12,956
957,Miojo,2.24,957
958,Sabão,4.48,958
959,Perfume,8.96,959
960,Shampoo,17.92,960
961,Condicionador,35.84,961
962,Gilete,71.68,962
963,Talheres,143.36,963
964,Refrigerante,286.72,964
965,Torta,573.44,965
966,Frango,1146.88,966
967,Carne,1.12,967
968,Vassoura,2.24,968
969,Bucha,4.48,969
970,Limpeza,8.96,970
971,Sabonete,17.92,971
972,Pão,35.84,972
973,Alho,71.68,973
974,Cenoura,143.36,974
975,Batata,286.72,975
976,Repolho,573.44,976
977,Maionese,1.12,977
978,Ketchup,2.24,978
979,Mostarda,4.48,979
980,Macarrão,8.96,980
981,Miojo,17.92,981
982,Sabão,35.84,982
983,Perfume,71.68,983
984,Shampoo,143.36,984
985,Condicionador,286.72,985
986,Gilete,573.44,986
987,Talheres,1146.88,987
988,Refrigerante,1.12,988
989,Torta,2.24,989
990,Frango,4.48,990
991,Carne,8.96,991
992,Vassoura,17.92,992
993,Bucha,35.84,993
994,Limpeza,71.68,994
995,Sabonete,143.36,995
996,Pão,286.72,996
997,Alho,573.44,997
998,Cenoura,1.12,998
999,Batata,2.24,999
1000,Repolho,4.48,1000
1001,Sabonete,1.12,1
1002,Pão,2.24,2
1003,Alho,4.48,3
1004,Cenoura,8.96,4
1005,Batata,17.92,5
1006,Repolho,35.84,6
1007,Maionese,71.68,7
1008,Ketchup,143.36,8
1009,Mostarda,286.72,9
1010,Macarrão,573.44,10
1011,Miojo,1.12,11
1012,Sabão,2.24,12
1013,Perfume,4.48,13
1014,Shampoo,8.96,14
1015,Condicionador,17.92,15
1016,Gilete,35.84,16
1017,Talheres,71.68,17
1018,Refrigerante,143.36,18
1019,Torta,286.72,19
1020,Frango,573.44,20
1021,Carne,1146.88,21
1022,Vassoura,1.12,22
1023,Bucha,2.24,23
1024,Limpeza,4.48,24
1025,Sabonete,8.96,25
1026,Pão,17.92,26
1027,Alho,35.84,27
1028,Cenoura,71.68,28
1029,Batata,143.36,29
1030,Repolho,286.72,30
1031,Maionese,573.44,31
1032,Ketchup,1.12,32
1033,Mostarda,2.24,33
1034,Macarrão,4.48,34
1035,Miojo,8.96,35
1036,Sabão,17.92,36
1037,Perfume,35.84,37
1038,Shampoo,71.68,38
1039,Condicionador,143.36,39
1040,Gilete,286.72,40
1041,Talheres,573.44,41
1042,Refrigerante,1146.88,42
1043,Torta,1.12,43
1044,Frango,2.24,44
1045,Carne,4.48,45
1046,Vassoura,8.96,46
1047,Bucha,17.92,47
1048,Limpeza,35.84,48
1049,Sabonete,71.68,49
1050,Pão,143.36,50
